"t1","t2","t3"
44.1376569731685,59.4451186573293,48.6189626927696
42.9076123536482,49.3263139307508,48.356461666181
41.9256716207082,34.4836465526401,27.2128152173099
49.530880133023,38.1684461381585,34.9626162058302
41.2217087425298,31.125507988914,24.2626942617462
52.5854154697427,44.6631683656491,38.1275983021111
41.499091500436,26.4937854034449,16.5514571844512
44.0338955421981,55.6270511937518,66.3823747763767
49.3209636254891,40.3905331498224,30.1628532690631
36.5686526431063,30.1106809797506,31.2872001205263
58.7959200812876,50.4169963943916,46.9810470985687
37.9412928880407,39.7336184647914,46.8733043086796
59.1370636138516,61.5403603917124,62.2318031271665
57.5720029712355,74.0365029622251,81.634593411033
50.9457960060755,49.1499412194128,54.6758307849233
67.0779924099157,70.7193782185053,79.4978832766009
33.1577451154329,22.9232725105925,14.2785555801276
65.1070289192253,57.4177252691551,64.7600213186555
55.6887102349167,47.5846095855847,43.3539566368814
36.8844932060246,29.3353103765967,21.1377356008667
63.5763623466912,63.1208641049686,70.3995936727556
66.5454523049438,82.7579374179859,82.7401907682507
63.3322960148991,64.3189742553722,67.7610027692468
59.8072559393573,58.9614858064598,59.0791577302657
46.6920201547933,39.579950973482,25.2459350447886
45.7653506205774,39.438695459109,40.8003989169455
42.7320228453949,53.1937783181755,45.8972402148953
48.5913426228673,37.3811194802939,40.9061807387243
35.7689212744527,38.0837750562229,40.1433173162115
68.5525031408792,68.4147494123915,91.6278119377116
64.467872513015,87.6231892558721,86.8429286642986
42.6277344249877,52.4172475053318,74.6136685368707
42.2671872511654,46.6906025262465,40.4697275513536
53.5165116448006,57.2800495054419,58.2018534101991
45.6481941351877,44.0061633559685,33.5030763814569
56.7045002564613,59.7669134633711,68.414010243327
63.9045150156496,69.1841750176573,77.4011513788532
61.0317024061047,65.7245007600691,74.5902287734314
34.5855190912859,38.3374515782784,30.2794377985212
35.4944553271049,24.3852899018179,13.5535492217182
39.7664686821882,37.6943321908225,29.4539423081064
58.6749635868964,50.6978480497478,43.6596075582644
46.5916430363887,42.309370100359,39.4900450946787
52.3294660595904,49.7827951118099,52.7769780290692
31.9707943831097,18.2484806991093,27.4339403504763
42.5849510455006,31.3992386107344,21.7312781626033
38.8249759198551,45.9080629428528,52.9723611970891
37.1225037921608,30.0479660712396,24.1474886157146
54.701640466923,56.3898150937444,54.3274148170476
48.6983509223079,42.2349730820391,40.1084918028663
45.8984622248031,39.285889019612,37.5720593694492
61.0028180498317,74.7469276381152,84.3222574752492
48.6904476261981,50.6424941206233,50.9122097834608
59.3054100532289,65.0478589752318,71.4219756608338
37.6505704446026,33.9153373395932,28.9913164558821
50.0822474820735,52.8818237274016,61.8966850006512
51.6536221241531,48.8118629032723,43.3360501546217
40.9833076719164,37.920937988136,35.1579862115495
45.0666139030975,58.3084280309019,54.2146515301419
47.0623874611481,62.1213036434941,81.7747271592491
62.2480289055513,63.1901734097358,67.9912052430416
62.5283135230364,59.6660542523385,60.4779794040007
52.8590106850685,59.6449692387473,69.5568952795148
62.1840913940854,48.0746309709002,39.2466083487666
63.58660245372,55.4097976895227,59.2551623798422
35.7472933451504,31.7245949819099,29.7833281450213
44.4245370392638,48.0105341353096,44.8180762223558
34.060886585272,54.7172875239633,22.1633213167979
61.5276002912845,59.3878090771075,66.9374496595028
54.8661615055973,66.2226910859507,72.0752886963687
47.2957471707289,46.6749177718211,44.3959700255214
54.9993460112876,62.4198939736144,44.2610189049339
54.9849046702004,55.2386325760498,62.4280269868062
39.5866778343452,29.5880822971431,22.3578232838155
45.3900682856262,40.4871719470532,39.4728042060289
81.4851834085254,54.0245693310808,54.36579659425
73.8907709411477,88.3125313139986,115.078823341804
53.7821574812591,68.866030820338,82.327543465306
40.8429216953357,42.3812723181452,47.4019949880383
54.718444990629,58.3442711399216,67.6186140551475
34.2543798329775,33.716418071552,30.8162992193614
64.479689213165,63.0900431574895,66.8139218088477
56.3079885149987,58.6946990450259,63.5412836788518
45.2707389913423,41.631195932808,43.0728356823268
45.8407119114072,36.5429769792359,23.5978033837352
49.3605439537731,64.2079229928097,50.1852802250706
61.3894898510465,61.936386431391,78.4276981864301
64.5239272468471,60.878993842189,57.3768793044324
30.5273324353047,26.6586928661997,21.8075493585926
40.1402289574382,45.4873108158012,48.3902549052046
47.2531163701076,36.4682557637306,31.2855596677558
43.4842398311515,32.6611163373769,22.3947468308152
45.6294889455805,62.0379381497995,61.3667577637781
41.817153497467,35.8599450451213,43.0562308472689
54.4069764214924,53.8636072310811,54.0121410909173
64.4439783337987,67.3360888803251,66.3816464532429
44.7131006017621,56.0202337790723,53.9741047098773
54.8802312004088,52.727771871786,74.7723017505963
49.1303618469038,44.2077907052847,42.7458250376055
53.2598887600671,51.7699607162456,48.5593675317741
37.6293497942205,42.6880607708668,47.1447771661369
40.1253169759338,34.043535647413,29.7513677106303
60.7271318742344,65.2068683930597,84.0750882862272
63.4227686944904,50.6596300670979,46.1697831753891
43.1753828500269,32.5441941144708,28.5325774166966
41.1399977656257,31.9803918831639,31.0256335045317
51.6675615442779,51.0371392684873,53.5880711421804
40.9854905138029,37.7534511835498,35.0242926889744
42.7554273903814,49.7042442272328,42.9088677566742
48.1171471730225,45.6843036249115,39.3530364494468
53.4175759700109,47.8169720236651,35.5002562097934
66.8481893098711,62.9059455189695,72.4266363695608
